

  n         y
--------------------
  0        3.436564
  1   2.000000e+000
  2   1.436564e+000
  3   1.126873e+000
  4   9.290729e-001
  5   7.911991e-001
  6   6.893691e-001
  7   6.109801e-001
  8   5.487231e-001
  9   4.980561e-001
 10   4.560030e-001
 11   4.205303e-001
 12   3.902000e-001
 13   3.639641e-001
 14   3.410666e-001
 15   3.205644e-001
 16   3.075327e-001
 17   2.085079e-001
 18   1.683421e+000
 19  -2.654844e+001
 20   5.364053e+002
 21  -1.125907e+004
 22   2.477051e+005
 23  -5.697211e+006
 24   1.367331e+008
 25  -3.418327e+009
--------------------
